Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
7672,4,"Awesome food and beer, best craft beer in Tucson! The tequila cilantro wings are a must with a Barrio Blonde.",05-12-15 3:22,Barrio Brewing,"Nightlife, Sports Bars, Bars, Breweries, Pubs, Restaurants, American (Traditional), Food",Tucson,AZ,4,611,Positive
7673,5,"Awesome place! The atmosphere of this market is great. The outdoor patio area is really modern and pleasing and it overlooks the train tracks. I ordered the hummus sandwich, which was delicious. I really liked how it came with a pickle and chips and the portion was rather large to where I wasn't hungry for dinner...so bring your appetite. 

The inside market has a wide selection of bottles of wine at what appeared to be decent prices. They also sell frozen tamales and other delicious looking treats. Next time I'm in Tucson, this place is on the list!",17-10-15 5:35,Maynards,"Grocery, Burgers, Food, Local Flavor, Restaurants, Salad, American (Traditional), Nightlife, American (New), Bars, Sandwiches, Breakfast & Brunch",Tucson,AZ,4,608,Positive
7674,5,"Nice warm atmosphere, friendly staff, tons of menu variations. Price $7 to $10 average for calzones. Big portions. Loved it! Had the Duke calzone. Very good! Definately recommend if in the area!",08-06-15 22:59,Sauce on the Side,"Restaurants, Italian, Salad",Clayton,MO,4.5,330,Positive
7675,4,This is the best ewing has to offer. Food is good and prices are reasonable. They need a larger appetizer selection.  Sals is our go to place when we are not sure where to go. Service is good but it is obvious that some of the girls smoke during their shift. That's a bit nasty. Over all a really good restaurant.,27-01-13 18:25,Sal DeForte's Ristorante,"Italian, Restaurants",Ewing,NJ,4,52,Positive
7676,2,"Great for drinking, live music, and atmosphere.  Ok for food.  Bad for service.  

When you order snow crab at a restaurant with a significant amount of seafood on the menu one would expect that the server wouldn't roll her eyes at you when you ask for a crab cracker and fork.  One would also expect the server to maybe stop by once or twice to check on refills....especially when you're sitting outside and it's nearly 80 degrees.

I hate to judge a place on a single server but this server was one of the worst ever so the mere fact that they are keeping her on staff makes me go from 3 stars to 2 stars.  Sorry.",28-01-13 5:24,Shephard's Beach Resort,"Hotels & Travel, Bars, American (Traditional), Restaurants, Event Planning & Services, Nightlife, Hotels, Resorts",Clearwater Beach,FL,3,371,Negative
7677,2,"Seven of us came to celebrate a family event-our waiter Rene was the best-sharp, witty and made us feel like family.  Unfortunately, the food did not-two people ordered the seafood bouillabaisse and both said it was tasteless.  Fish that was served was just ok-we thought we had walked into the movie set of Ratatouille before the young chef had been allowed to cook.  The dessert was frozen solid so it had to be returned.  The food was disappointing but Rene was a showman who did his best.",16-05-10 10:47,Broussard's,"Seafood, French, Restaurants, Cajun/Creole",New Orleans,LA,3.5,63,Negative
7678,2,The Hollister of fast casual restaurants.  Plan on which burger joint you're going to afterwards because you're going to leave hungry.  For $5.99 I was assuming my juice would be more than 16 oz.  But the employees are very nice and visually nice to look at.,12-04-16 1:54,Freshii,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Restaurants, Cafes, Vegetarian, Breakfast & Brunch, Salad, Wraps, Fast Food, Gluten-Free, Food",St. Petersburg,FL,4,98,Negative
7679,5,"What a great place.  The history and the secluded location alone make it great but the food is actually terrific.  Great fish and steak.  You have to try this place.  It's like traveling back in time, just wonderful, especially for kids to enjoy the grounds and the hisotry of it.  It would be best to come here during daylight hours so you can tour the site and see everything they have.  After dark, it's very hard to see anything since they do not  have a lot of light here.",11-09-12 0:41,Cold Spring Tavern,"American (Traditional), Restaurants, Bars, Nightlife",Santa Barbara,CA,4.5,1018,Positive
7680,4,"My daughter and I stopped in for lunch a couple of weeks ago - no frills breakfast and lunch place.  Seated promptly, order taken by a very nice waitress.

They rearranged the entry for (presumably) more seating.  We had a seat very close to the door and it was rather cold - not the end of the world.  Ordered the spinach melt with fries, daughter went with a cheeseburger and fries.

Melt was very good - larger in size, served on nice bread with tomato.  Fries were hot and fresh and what I would describe as ""Shoestring boardwalk style"".  Not a fan.  Too little potato and too much grease.  Sort of like the basket filler you get at a Long John Silver's.  Daughter liked them though - she had half of mine.

Noticed that the Roost was listed as a place to visit (!) from a customer who was in town on business.  Not sure what it says about Fishers in general, but he went there for breakfast on our recommendation and really enjoyed as well.

Good local place - suitable for breakfast and lunch.  Come as you are.",06-02-14 3:23,The Roost,"Sandwiches, Restaurants, Breakfast & Brunch",Fishers,IN,3.5,142,Positive
7681,4,"Place is neat and kitchen is good.. Food is tasty.. Not many options for vegetarians though.. Except for cheese quesadilla, vegetables tortas and stuff like that",04-01-16 20:46,El Limon - Malvern,"Mexican, Restaurants",Malvern,PA,4.5,267,Positive
7682,4,"It's been a while since I've visited a BJs and coming back it did not disappoint from what I remembered.

First visited in the South, this time it seemed like best option around the outlet.

Tasty and huge salads is what I remembered. And it still is!

The staff were friendly and place is spacious. They have a very large variety of beer. It's not your hipster placed of beer, just simple beer of different varieties that could be passed off as craft.

They have coloring for kids. And a lot of babies and kids seem to frequent here.",16-12-17 18:36,BJ's Restaurant & Brewhouse,"Food, American (New), Restaurants, Pizza, Breweries",Lutz,FL,3.5,301,Positive
7683,5,Pass this place all the time always wanted to stop by and try it out. i got the chance to go and DEFINITELY ENJOYED the sushi and complementary dessert. Waitress was very nice. I have to definitely come here again,08-10-10 1:40,La Fusion Cafe,"Asian Fusion, Food, Restaurants, Sushi Bars",Willow Grove,PA,4,58,Positive
7684,5,The food was excellent and the staff was extremely courteous and friendly. I highly recommend this to all my family and friends!,17-07-18 17:07,Gateway To India,"Food, Imported Food, Specialty Food, Indian, Restaurants, Ethnic Food, Buffets",St. Petersburg,FL,4,393,Positive
7685,4,"An exciting blend of Asian and Western cuisines, served in a stunning space featuring stone and glass, silk lanterns, arrangements of fresh orchids, and an impressive collection of Chinese art. Start with seafood wonton soup, a miso-like broth brimming with ginger-filled dumplings, or curried chicken ravioli with grilled eggplant. What seem to be odd combinations prove to be inventive, and delicious, creations - smoked duck with endive, spicy shrimp with sweet pear curry, sesame seed-encrusted halibut filet with crunchy French beans and tomatoes in a lemongrass sauce. Noodle dishes and stir-fries are impressive. One area where they really shine is one usually ignored by Asian eateries - dessert. Ginger creme with strawberries, hazelnut meringue with milk chocolate and champagne-poached kumquats, and fresh mango and blueberry cake are options that warrant serious consideration. As glamorous the decor and delectable the cuisine are, this loses a star for its far too small portions at much too high prices. Heaping more on the plate or lowering the tab probably would make this a more frequent destination instead of an occasional special event.",23-09-05 15:57,Susanna Foo Chinese Cuisine,"Chinese, Restaurants",Philadelphia,PA,3.5,26,Positive
7686,4,"Tried Olly Fresco's for the first time today. It's located on 107 Street, in the Alberta Health Services Seventh Street Plaza, ground floor of the South Tower. It's kind of like Sunterra in that it's mostly self serve, though there is a soup (4 different kinds) and sandwich/panini/breakfast counter at the back. Lots of choices for drinks (water, soda, kombucha, etc), snacks (like individually wrapped cheese, $0.85 a piece) and desserts (cookies, candies). A decent-sized salad bar with a variety of leafy greens (all looking fresh) and lots of toppings (chicken breast, deli meat, other vegetables). The hot food self-serve area also has about 10 choices ($1.89/100g) - several meats (today was roast beef au jus, roast chicken legs with mashed potatoes and gravy on the side, butter chicken, and another Indian dish), a fish (I think it was breaded), perogies (with self serve bacon and sour cream... dangerous), and some veggies (steamed broccoli and cauliflower, roasted potato wedges), and I assume there is always a vegetarian dish - today's was lasagna. I may have forgotten about a few other dishes. Everything is labelled and relatively fresh - I saw them replenishing lots of dishes even before it got down to the very end undesirable bits. 

I enjoyed the mishmash I picked up. You use take out styrofoam containers so you can always bring home leftovers. The lasagna was cheesy and flavourful, despite not having any meat in it. The noodles were not as al dente as I would have liked and it was a touch salty, but overall I liked it. The broccoli was perfectly steamed to retain nutrients - still bright green and just a touch of crunch. The roast chicken was really popular - I don't know if it was legs only but I snagged the last piece of thigh in a sea of drumsticks - skin was still kind of crispy and seasoned with some herbs (indistinguishable though). A touch dry but totally edible still. I loved the perogies - they were very generic potato ones, nothing special but not bad (e.g., the right amount of dough and filling, not mushy). I loved being able to choose as much sour cream and bacon bits (real ones!) as I wanted. 

There's quite a bit of seating and a lot of people seem to get the food to go, so I didn't have any trouble finding a spot for two around 12:15pm (it was busy though!). After grabbing a bottle of premium water, my total came to about $13, and I was certainly quite full. You can spend as much or as little as you want to. I thought the food was decent despite it being made for the masses, and I love the variety of choices - I understand that they change offerings daily so I'd be interested to try other options. I think it's a really great option for the people who work on this west end of downtown (note it's closed on weekends). I will be back!",25-08-16 21:54,Olly Fresco's,"Delis, Food, Restaurants, Do-It-Yourself Food, Breakfast & Brunch",Edmonton,AB,3.5,16,Positive
7687,3,just average......service in Slidell   VERY GOOD!!!,24-02-16 14:47,New Orleans Hamburger & Seafood Co.,"Fish & Chips, Burgers, Seafood, Restaurants",Harvey,LA,3.5,113,Neutral
7688,4,Wahoo's is a great fast-foody type place. I love the burritos and the staff and Jeff the owner are top-notch. Cool place.,04-10-13 2:55,Wahoo's Fish Tacos,"Seafood, Restaurants, Mexican",Santa Barbara,CA,3.5,62,Positive
7689,4,"I surprised my girl with dinner at Bailey's Range, and she was excited to go!  Being a burger aficionado, I was happy to indulge my girl's burger passion.  At the same time, we were excited because the Range makes everything from scratch -- and I mean everything, right down to homemade buns and homemade sauces.  If they made their own glassware, plates, and silverware, I think they would have taken the experience to a whole new level!  

We got there shortly after the Range opened, so seating was not a problem.  Our server took our drink orders.  She had a dark beer, and I had the ""Sweet Sweet Bacon"" -- a milkshake with Maker's Mark, candied bacon, and salted caramel ice cream.  The shake was good -- I think mine might have had a little too much Maker's Mark, knocking the balance of the drink off, but I didn't mind -- it had been a long week up to Thursday...!  We skipped appetizers and went right to mains.  She ordered the American burger, and was more than happy.  Then again, who wouldn't want a fried mac'n cheese patty atop their burger, which was cooked medium rare (appropriately the way she wanted it) on a soft bun (double score for her!).  I ordered the Ahh Jamn!, which was supposed to come with bacon jam, red onions (I had asked for caramelized onions), mushrooms, and cheddar cheese.  When my burger came out, I was ready to kill it, so started enjoying it.  About midway through the experience, it dawned on me -- ""...is this my burger?""  I didn't really get the taste of bacon jam or mushrooms, though it looked like it might have been on there.  The cheese enveloped my burger, so it was hard to tell whether I had the right burger.  But I pressed on anyway, because I was hungry.  We also ordered a large order of fries, and asked for their house mayo and house cheese sauce.  The fries were great, and the homemade sauces were divine.

Overall, this was a good experience.  In hindsight, I should have said something to our server regarding my burger, but I chose not to.  That was my bad.  That's the only reason why I give Bailey's 4/5 stars rather than 5/5 stars.  That being said, that only means that I'll be back there again to try something different, because Bailey's Range is worth it!",14-11-13 11:26,Baileys' Range,"Ice Cream & Frozen Yogurt, Burgers, Food, Nightlife, Beer Bar, Bars, Restaurants",Saint Louis,MO,3.5,1567,Positive
7690,4,"A great place for a drink or a pizza. I really recommend the stuffed crust Chicago style, but any will do. They use a pepper sauce for a unique flavor. Somedays it's dead-on, somedays it isn't.   Beer prices went up recently, and sometimes it's just too smokey, but the 'Thorn does a great job of feeling like the perfect corner bar. I do hope to never see the place with the lights on.",17-06-05 16:30,Blackthorn Pub and Pizza,"Pizza, Pubs, Bars, Nightlife, Restaurants",St. Louis,MO,3.5,446,Positive
7691,1,"It's like they have the blind leading the blind here. We ordered a deluxe pizza and when we opened the box, ALL of the cheese and toppings had slid off the pizza and into the corner of the box. It was as if he carried the pizza vertically. We actually laughed out loud when we saw it. Plus our roast beef sammy was way overcooked and dry... and missing the ""everything"" we asked for (lettuce, onion, pickle, tomato, mayo).

So we called back and explained the situation and they promised to send the remake out RIGHT AWAY. lol.... another hour later we got a nice looking roast beef sammy but a pizza that was even MORE jacked! There was not a single topping even hinged on the the crust of the pizza.

We called back again laughing. I said, ""I am not even mad, I am impressed. Let me send you a text image of this pizza- it is crazy."" He apologized profusely and promised to send another, but at this point it had been 2 hours and we had drank our sodas, and eaten our wings and had dinner plans so we refused another pizza. 

At this point, the gentleman offered to bring us back our ten dolllars for the pizza and we accepted. He said he'd be by shortly but it was another hour before we saw him.

Total s-show. Avoid this location altogether. I have had far superior service at the U City or Maplewood locations. YIKES",26-06-12 14:50,Imo's Pizza,"Pizza, Restaurants",Saint Louis,MO,2,77,Negative
7692,5,It is a decent place. The food is great and the service is nice. I was there twice during my stay in town. I ordered their daily specials and was very satisfied.,24-06-13 18:11,Luke,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch",New Orleans,LA,4,4554,Positive
7693,5,"Miss this little gem more than we could have ever imagined!! While living in Carp we frequented Siam almost every week. The owners are absolutely wonderful and you can't beat the setting. The food is freaking amazing and I've never had a pad thai dish that I've liked better. Definitely try the coconut, mango, sticky rice, it's like heaven!",28-06-14 4:46,Siam Elephant,"Restaurants, Thai",Carpinteria,CA,4.5,460,Positive
7694,5,"I must say after 20 minutes of aimlessly driving in Delran, we finally stumbled across this hidden gem. My husband and I were greeted with such friendly faces, which set the tone for the night. We told them it was our anniversary and they were more than welcome to accommodate. They gave us a nice secluded table on the beach with lit candles, it was just what we wanted. Our server was very prompt and sweet. She was more than willing to go over the menu and explain the specials in more lament terms. My husband had the Grilled ribeye and I had the Salmon. Everything was grilled to perfection with just the right accompaniments. But the cherry on top the night, of course, was dessert. I was sold as soon as our server brought over the dessert tray. We had the carrot cake and sugar free cheesecake. THE CARROT CAKE WAS UNBELIEVABLY MOIST AND DELICIOUS! The cheesecake was so creamy, you didn't even miss the sugar. I will definitely be making Foyster's Dockside a regular spot for us.",16-07-12 16:21,Foysters Dockside BYOB,"Cafes, Seafood, Boating, Active Life, Cheesesteaks, Restaurants, American (New), Local Flavor",Delran,NJ,4,7,Positive
7695,5,"Never been dissatisfied here, and what's more we're always thoroughly impressed. Speedy, friendly service paired with fairly priced food of great quality with clean and unique dining area. Bathrooms are kept up extremely well with the amount of foot traffic they see too. Kudos to the manager and hard-working team there!",24-02-14 9:26,In-N-Out Burger,"Restaurants, Fast Food, Burgers",Goleta,CA,4,228,Positive
7696,3,"I wish I could rate this place higher as it's the only place in the city with my all time favourite beer on tap, however the three stars is fair. 

Even when you sit at the wood here the service is normally a bit slow and standoffish which is odd.  

The room itself isn't exactly inviting and the setup just seems off.  I can't pinpoint what it is but it doesn't feel comfortable really at all.  

Good specials and they had decent food which is nice that's in their favor.  

Keep the Rogue Nut Brown on tap and I'll still be coming back.",18-12-14 16:43,The Underground Tap & Grill,"American (Traditional), Pubs, Tapas Bars, Restaurants, Nightlife, Bars",Edmonton,AB,3.5,96,Neutral
7697,5,"Hands-down my favorite restaurant in New Orleans. Fantastic happy hour with $.50 oysters and half-price drinks from 4-6. Amazing gumbo, tuna, and even the burger is phenom. Wow.",11-10-14 23:43,Luke,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch",New Orleans,LA,4,4554,Positive
7698,5,The mozzarella sticks and the fettuccini Alfredo with shrimp are my fave here !! The pizza is actually delicious. Definitely a must have if in the St. Pete area ! The customer service is through the roof. It's safe to say we are regulars here!,04-03-18 6:58,Fortunatos Pizza Station,"Restaurants, Pizza, Italian",Pinellas Park,FL,3.5,46,Positive
7699,5,We go here all the time to get awesome coffee & just chill (: lattes & chai tea are amazing & environment is super welcoming!!,24-02-18 22:07,Provisions Coffee & Kitchen,"Bakeries, Coffee & Tea, Bars, Donuts, Beer Bar, Food, Bubble Tea, Restaurants, Nightlife, Breakfast & Brunch, Gluten-Free, Vegan, Cafes, Acai Bowls",Wesley Chapel,FL,4.5,261,Positive
7700,5,"As an update to my previous review, we had tried the pizza tonight and it was delicious. The   crust is light, thin and tasty. The sauce is sweet and spicy. Mozzarella and provolone is the perfect combination of cheese. Just add those amazing meatballs and you have a wonderful pie!",28-04-18 0:32,Zio's Italian Market,"Food, Delis, Italian, Bakeries, Restaurants",Largo,FL,4.5,100,Positive
7701,4,Very unique pizza topping combinations--everything from your average pepperoni and cheese to Thai peanut shrimp and Buffalo chicken. Plenty of TVs and beer for sports fans.,23-06-16 18:14,Brixx Wood Fired Pizza,"Pizza, Nightlife, Bars, Sandwiches, Gluten-Free, Vegan, Salad, Wine Bars, Restaurants, Beer Bar",Fishers,IN,4,193,Positive
7702,3,"some days i want tacos
so when i visit this place i was happy
'caus it was cheap and tasty",22-11-16 7:40,Taqueria Cuernavaca,"Mexican, Tacos, Restaurants",Santa Barbara,CA,4.5,409,Neutral
7703,1,"My husband and are new to Dtown and love Thai food.   We decided to try this place because of the reviews and we were extremely disappointed.   The food was bland and didn't resemble any Thai cuisine favors I've ever had.    For a place with Spice on the name, this was far from that.",30-08-15 18:59,Spice Thai Cuisine,"Local Flavor, Restaurants, Thai",Doylestown,PA,4,65,Negative
7704,5,"Never mind the fact that I was the only female in the joint all night long, this is a fine establishment that makes me ooze with positive verbiage. Excellent food, service, and even better prices. Best on 2nd Street by a long shot.",30-11-11 5:52,Piranha's Bar & Grill,"Restaurants, Dive Bars, Sports Bars, Bars, Nightlife, American (Traditional), Sandwiches",Nashville,TN,4,75,Positive
7705,1,"I will never eat here again. I ate here a couple months ago and it was average (maybe three stars) but after this last experience they have been demoted to a one star in my eyes. We ordered the chicken saltimbocca ($23) and the chicken picante ($15) each with a side of linguine w/ the garlic butter sauce and each came with a side of escarole soup and side salad. We ordered this for pickup so they then told us that we had to bring them containers to put the soup in because they didn't have any. And I dint think this was just because they ran out bc my gf remembered this happening in the past. 

So we picked it up after we took out money at the Wawa because they don't take cards. Um its 2011, everyone uses cards. Get with the times son. We finally got the food back to my place and when we opened it up we found out that they gave us marinara sauce instead of the garlic butter and I'd usually let it slide but I was really in the mood for it and I'm tired of not getting what i ordered. So I called them up and the lady that answered the phone gave me to the guy that took the order and I explained that we didn't get the right sauces and he said in a very rude tone ""well I didn't hear your wife or your girlfriend or whoever that was say that you wanted that sauce. Its an extra 2 dollars for that sauce. I can make it for you and you can come back up and it will be 4 bucks"". I was so caught off guard and didn't know what to say I just said ""no I wont be doing that"" and hung up. After I hung up all the great comebacks that I missed out on. I felt like George Castanza in the one episode where he thinks of a bunch of witty comments after the fact. Unfortunately I wont have another chance to hit him with my comebacks because I'll never go back. 

Also the food tasted like tin foil. Sounds awesome I know..",24-04-11 0:39,Casselli's Ristorante,"Restaurants, Italian",Philadelphia,PA,3.5,39,Negative
7706,5,"Best pho in Santa Barbara County.  Staff are great.   I drive 35-40 minutes for the Pho, would drive double.   Seriously tho, no more pho withdrawals.   
   Thanks Phamous!",27-07-18 0:09,Phamous Cafe,"Food, Vietnamese, Restaurants, Bubble Tea",Goleta,CA,4,220,Positive
7707,5,Second time here and just as great! All around one of the best BBQ places. The brisket was absolutely perfect this time also. Took my girlfriend this time and she was equally impressed.,13-11-14 23:21,Edley's Bar-B-Que - 12 South,"Barbeque, Restaurants, Dive Bars, Cocktail Bars, Southern, Nightlife, Bars",Nashville,TN,4,1114,Positive
7708,5,"Food and service were excellent, 

We had a Country Omelette, and the Wildflower Signature Scrambled plate. 

The omelet was large and truly a masterpiece, with really fresh mixed greens on the side.

The Signature Scramble was basic, but good, a little on the small side. For most people it would be just enough. 

There is plenty of parking, efficient service, friendly hostess and big picture windows. 

The prices! Inexpensive! Really a nice surprise.

Tip: They have home fried potatoes, but only on Sundays. 

See the photo of the dining room I posted.",05-12-15 15:28,Wildflower Cafe,"Salad, Sandwiches, Restaurants, Breakfast & Brunch",Clearwater,FL,4.5,519,Positive
7709,5,"I was here a few weeks ago and this experience really stood out for my trip. Kerry was a gem, he even helped me locate the coffee shop to purchase their coffee which I fell in love with. I would definitely recommend",29-05-18 20:00,Compère Lapin,"Personal Chefs, Event Planning & Services, Restaurants, Caribbean, American (New), American (Traditional), French",New Orleans,LA,4.5,804,Positive
7710,3,"Mmm, hibachi scallops :-)

I am a sucker for scallops -- so simple, but the flavors are not.  Well, my seafood dinner started out perfectly with the Benihana punch.  Haha, I am a Malibu Bay Breeze babe, so bring on the yummy rum and fruitiness!

Well, the hibachi experience at Benihana was predictable enough, but a good predictable as hibachi consists of clean, fun entertainment.  And, of course, there was the anticipation of a yummy scallop dinner, which I indeed had.  

Not bad for the suburbs, woohoo!  

P.S.: Thank you, Benihana, for playing ""Life Less Ordinary"" by Carbon Leaf ANNNND ""Hopeless"" by KT Tunstall IN A ROW while I was waiting for my hometown girlfriends to arrive ;-)",28-09-11 1:45,Benihana,"Japanese, Steakhouses, Sushi Bars, Restaurants",Plymouth Meeting,PA,2.5,240,Neutral
7711,5,"If you came to Surrey's Cafe and didn't order the shrimp and grits, did you really even go? 

Two of my friends went to Surrey's TWICE in a four-day trip just for the shrimp and grits. It was definitely not your average dish. Lined with small toasts around the bowl, infused with bacon bits, and creamy, thick grits with perfectly proportioned shrimp, every bite was truly an experience I did not want to end. I wanted to eat it all up while at the same time savor every last bite. 

It was extremely filling, but I also tried a bite of the pain perdu, which was divine as well. 

Bearing in mind the second part of the name, ""juice bar,"" and they are apparently the first juice bar in New Orleans, according to their menu, I wanted to try a juice out myself! I combined apple, carrot & ginger and felt simply refreshed. The ginger is pretty strong. Great to wash down all the food you just consumed!

Service was excellent and we experienced friendly staff. It's cute and diner-y inside with a lot of NOLA trinkets on the walls. Long lines on the weekends, but luckily we were seated right away on a Tuesday morning. After a weekend of eating, Surrey's was the perfect way to end our NOLA trip.",04-03-18 16:49,Surrey's Café & Juice Bar,"Vegetarian, Restaurants, Breakfast & Brunch, Cafes, Juice Bars & Smoothies, Sandwiches, Food",New Orleans,LA,4.5,2084,Positive
7712,4,"The blue crabs were on point. Never had crab nachos before but great first time. Service was ok at best, but maybe our waitress was having a bad day. But the bartenders were cool.",19-05-16 22:50,Chickie's & Pete's,"Seafood, Nightlife, Sports Bars, Bars, Restaurants, American (New)",Philadelphia,PA,3.5,590,Positive
7713,4,"I came here for a work dinner and we all enjoyed ourselves. Our service was pretty good! He was really nice and answered our questions but he did offer to go over the specials. I mean the specials were listed at the table but I thought It was weird he didn't say anything about them. The waiter said the rigatoni was their most popular dish, so naturally I ordered It. I thought It was good but safe, It wasn't busting with flavor. My coworker ordered the octopus ink pasta and said he felt like It was undercooked. Overall, I enjoyed the restaurant and I would go back!",17-12-17 1:51,Convivio Italian Artisan Cuisine,"Restaurants, Pizza, Salad, Italian",Carmel,IN,4.5,339,Positive
7714,3,"Very fresh and tasty but chinsy on the meat (I had the roast beef and cheese primo).  With all the great places to dine in, take out or otherwise satiate your soul with some of the best food on the planet, I will not return here.",08-04-17 21:10,PrimoHoagies,"Italian, Sandwiches, Restaurants",Philadelphia,PA,3.5,65,Neutral
7715,5,"i always get the buffalo pizza here, ive tried buffalo chicken pizza at alot of other places, and this is the only one i like. good prices too!",06-09-16 0:47,Ciao's Trolley Pizza & Grill,"Restaurants, Pizza",Wilmington,DE,4,77,Positive
7716,5,"Incredible. Everything was perfect. The right portion size, the right flavor balances, good cocktails, and awesome beer. We're not from New Orleans but we will drive the three hours from where we live just to come again!!!",18-01-15 15:34,Squeal,"Barbeque, Restaurants",New Orleans,LA,3.5,244,Positive
7717,5,Amazing sushi! Lunch prices are great. Endless sushi and hibachi!,26-10-16 15:02,Saki Endless Sushi & Hibachi Eatery,"Restaurants, Salad, Sushi Bars, Soup, Japanese",Clearwater,FL,3.5,473,Positive
7718,1,"I've been 3 times, so I think I can share a fair judgement.  This business is a lot of show, without the go.   Service has been the overall department that has been completely lacking along with some breakfast items are products of horrible cooking.  First time: asked for black coffee and a matcha latte, dad didn't get his coffee until our food already arrived (which also seemed to take forever) and I actually never received my matcha latte after asking and reminding waiters more than eight times, 8!!! It got to be comical, which is why we counted.  By the end of our breakfast they finally offered it to me in it as a to go drink and still had the audacity to charge me for it, so I said no.  Second visit, was dinner with friends, this was a much more pleasant experience, there was four of us, we shared a bottle of wine and I remember I liked my food. No complaints here. Third time, was another breakfast round... I'm not sure what it is about breakfast but I don't think they do a good job for breakfast. To start with, we were given menus for both breakfast and lunch, which was appreciated, but no drink menus and we were specifically interested in mimosas or Bloody Mary's etc. because we didn't know what to order, or what was our options were... my dad ordered a Bloody Mary, and I ordered a Mimosa. I only mention this because it was frustrating to see other people have different variations of mimosas and also bloody mary's, other breakfast cocktails which we didn't even know existed.  My dad ordered a ham and cheese omelette with his side of home fries. I ordered the power bowl muesli.  We got through two drinks before the food came, which actually was a long time. By the time our food came, the order was wrong - my dad had fruit, but no home fries as he requested.  We immediately let our server know, and she said she would go grab them.  Additionally, our plates were extremely bland.  Just an omelette, no garnish or sides at all (other than the fruit in the side bowl.  The plates just looked sad.  Also, I could tell by looking at the omelette it wasn't good, that's how bad it was, and my dad concurred.  The wait staff failed to bring his home fries in any kind of fast or quick manner, so we reminded our bartender, who then reminded to server, once my dad got a refill on his coffee we also then reminded that server as well.  We ate through the entire meal, never got the home fries, and in the end right as our check was being delivered we mentioned the homefries again, and that's when the bartender sent a server running for them, and as we were signing our check is when they came out and were offered as a ""to go"" option.  While a simple side, it was really disappointing to go the entire breakfast with an awkward feeling of  ""I guess they just don't care"" and instead of comping anything, the manager offered me a $15 off coupon the next time we came in.  It's just hard to ever want to come in again... and didn't feel like an adequate apology on a $45 breakfast.  And lastly my dads omelette tasted like McDonalds.  Only upside was that my muesli power bowl was delicious, just hard to believe it took as long as it did to come out or that anything cost as much as it did with as horrible of service and lack of ""care"" put behind anything that was done there.",21-01-18 16:00,Milk and Honey Nashville,"American (New), Restaurants, American (Traditional), Food, Breakfast & Brunch, Coffee & Tea, Pizza",Nashville,TN,4,1725,Negative
7719,5,"Not only is this place delicious (brussel sprouts, fried chicken and brisket burger were ON POINT), but the owner?/host? guy is super accomodating--lit up a fire for us out back even though no one had been out there and the weather would've advised against it.

Definitely recommended.

Oh, and those pickles. Get as many of them as you can.",05-11-15 23:24,Three  Flags Tavern,"American (Traditional), Restaurants, American (New)",Saint Louis,MO,4,147,Positive
7720,4,"I attended the soft opening for this new restaurant and bar. It's in the space that was formerly Epiphany Restaurant, and is under the same ownership and management. I guess they decided to go in a different direction and name.

The folks are the same, but the menu is different. Sort of fancy traditional American mixed with California cuisine. It's not just mac and cheese but truffle mac and cheese. 

The soft opening was anything but! The doors opened at 6 and it was packed by 7. There is a good level of cougers and douchebags there, and HobNob appears to have anticipated that, and offer a signature drink called a Couger Cooler. 
What was soft about the opening was a limited menu, which they were very upfront about so we were well aware that the kitchen was still preparing and the staff was getting oriented. Parts of the restaurant were even still under construction.

I was there with thirsty friends and we sampled three cocktails: the Hunny Sunshine (or sunset?), with muddled ginger , the Old Pom with bourbon and pomegranate syrup, and the Cucumber Crush with, you guessed it, crushed cucumber! Of these three, we liked the Old Pom and the Cucumber best. 

Nibbles included a selection of bread rolls - rosemary, sundried tomato and plain - with a fat wodge of butter, and an appetizer order of the Mac Daddy, their spiral pasta with cheese sauce and toasted crumb topping flavored with truffle. 

The guys at the bar, Andy and Ace, were kept on their toes with many many drink orders, they stayed organized and even added a little flourish here and there. 

Diners were young and old alike, and lots of them. Maybe they were old loyals of Epiphany, maybe they were seeking out the newest venues in town. Both probably got what they wanted!",13-03-10 7:27,Hob Nob,"American (New), Restaurants",Santa Barbara,CA,3,23,Positive
7721,5,"Yes! So good. Whiskey cocktails are infinitely complex and well made. Also, I have a thing for Greek mythology so I dug the muse and persephone's downfall as two very creative cocktails.

We had an uncomfortable table right by the door and there is no table service but it did not matter; because the music was at just the right volume and tempo, the drinks were mind blowing, and all the food we ordered made us feel deeply happy.

Butternut squash ravioli. That is all.",17-01-14 0:53,Three Muses,"Nightlife, Jazz & Blues, American (New), Music Venues, Restaurants, Gastropubs, Arts & Entertainment",New Orleans,LA,4,1165,Positive
7722,5,"I have never eaten here always got take out so I can't speak to the ambiance but the food is delicious. 
I always get the veggie pizza. It is always perfect crisp bread topped with light sauce and a host of veggies then cheese. Baked to a perfect ooie gooie crunchy bite every time. And they make the best fries ever!!",30-04-17 12:57,Double Decker Pizza - Media,"Pizza, Seafood, Restaurants, Mexican, Italian, Burgers, Salad, Greek, Sandwiches",Media,PA,4,88,Positive
